Treatment,Type,Length,Touch,Homework,Description ,,,,,
טיפול בקבלה והתחייבות (ACT),Emotional,Short,N,Y,"מיועד לאנשים עם הפרעות חרדה ודיכאון, מתמקד בלמידה איך לקבל את המחשבות והרגשות בלי להילחם בהם.",,,,,
טיפול בעזרת בעלי חיים ,Emotional,Long,Y,N,"מתאים לילדים ומבוגרים עם בעיות רגשיות או נפשיות, משתמש בחיות ליצירת קשר רגשי ושיפור בקשר החברתי.",,,,,
טיפול באמנות,Emotional,Long,N,N,"מיועד לאנשים מכל הגילאים לעיבוד רגשי דרך ביטוי אומנותי, מסייע בהתמודדות עם לחצים וחרדות.",,,,,
טיפול בחשיפה,Emotional,Short,N,Y,"מיועד לטיפול בחרדות ופוביות, עובד על חשיפה הדרגתית ובטוחה למקור הפחד.",,,,,
Eye Movement Desensitization and Reprocessing (EMDR),Emotional,Short,N,N,"מתמקד בטיפול ב-PTSD, משתמש בהנחיות עיניים לעיבוד טראומות.",,,,,
טיפול קבוצתי,Emotional,Long,N,Y,"מתאים למגוון בעיות רגשיות, מעודד תמיכה חברתית ולמידה מחוויות של אחרים.",,,,,
יוגה,Physical,,N,N,"מיועדת לשיפור בריאות הגוף והנפש, עוזרת בניהול מתח וחרדה דרך תרגול גופני ונפשי.",,,,,
תוספי תזונה צמחיים,Physical,,N,N,"נועדו לשיפור הבריאות הכללית, מתמקדים באיזון תזונתי ותמיכה במערכת החיסונית.",,,,,
טיפול במוסיקה,Emotional,Long,N,N,"מתאים לכל הגילאים, עוזר להתמודד עם בעיות נפשיות ורגשיות דרך ביטוי מוזיקלי.",,,,,
טיפול פסיכודינמי ,Emotional,Long,N,N,מתמקד בחקירת התודעה הלא מודעת לטיפול בבעיות נפשיות והתנהגותיות.,,,,,
ייעוץ תזונתי,Physical,,N,Y,"מיועד לשיפור הבריאות דרך תזונה מאוזנת, תוך מתן הדרכה אישית.",,,,,
ריפוי בעיסוק,Physical,,Y,Y,מסייע למטופלים לשפר יכולות פונקציונליות ולהתמודד עם מגבלות גופניות או נפשיות.,,,,,
ארומתרפיה,Physical,,N,N,"שימוש בשמנים אתריים לשיפור מצב הרוח והרגעה, מתאים למטופלים עם לחץ וחרדה.",,,,,
טיפול באור,Physical,,N,N,"מתמקד בטיפול בהפרעות שינה ודיכאון עונתי, עובד על חשיפה לאור מלאכותי.",,,,,
טיפול בתנועה וריקוד,Physical,,Y,N,מיועד לשחרור טנזיות וקידום בריאות נפשית דרך ביטוי גופני.,,,,,
טיפול מגע גוף נפש,Physical,,Y,N,"מטפל בשילוב של טכניקות מגע עם עבודה רגשית, מתאים למטופלים עם טראומות ומתחים.",,,,,
SE - חוויה סומתית,Emotional,,Y,N,מתמקד בשחרור טראומה דרך תנועות גוף ותודעה גופנית.,,,,,
דיקור סיני,Physical,Short,Y,N,מיועד לטיפול במגוון בעיות גופניות ורגשיות דרך עידוד זרימת האנרגיה בגוף.,,,,,
